[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | Prerequisites test: personFound
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | True
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | Prerequisites test: haveNotGreeted
[Modules.prerequisites] | 2017-10-24 09:55:21,295 | InfoBag: True
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | False	Failed TaskHandler:prerequisites:checkPrerequisites for Greet - haveNotGreeted
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | haveNotGreeted : FAILED
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | Prereq test after testing: False
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | True;  Finished :Greet
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | Starting new task: GetObjective
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | Running task: GetObjective
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | Name of prerequisites
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | personFound,haveGreeted
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | Prerequisites test: personFound
[Modules.TaskHandler] | 2017-10-24 09:55:21,295 | True
[Modules.TaskHandler] | 2017-10-24 09:55:21,296 | Prerequisites test: haveGreeted
[Modules.TaskHandler] | 2017-10-24 09:55:21,296 | True
[Modules.TaskHandler] | 2017-10-24 09:55:21,296 | Prereq test after testing: True
[Modules.TaskHandler] | 2017-10-24 09:55:21,296 | Running function: getObjective
[Modules.TaskHandler] | 2017-10-24 09:55:24,924 | True;  Finished :GetObjective
[Modules.TaskHandler] | 2017-10-24 09:55:24,925 | True;  Finished :AskForTask
[Modules.TaskHandler] | 2017-10-24 09:55:24,925 | True;  Finished :FIND-SOMETHING-TODO-1
[__main__] | 2017-10-24 09:55:24,925 | FIND-SOMETHING-TODO-1
[__main__] | 2017-10-24 09:55:24,925 | Finished circle: True 
[__main__] | 2017-10-24 09:55:24,925 | Started root: FIND-SOMETHING-TODO-1
[Modules.TaskHandler] | 2017-10-24 09:55:24,925 | Running task: FIND-SOMETHING-TODO-1
[Modules.TaskHandler] | 2017-10-24 09:55:24,925 | Name of prerequisites
[Modules.TaskHandler] | 2017-10-24 09:55:24,925 | 
[Modules.TaskHandler] | 2017-10-24 09:55:24,925 | Prereq test after testing: True
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | Starting new task: LookAround
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | Running task: LookAround
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | Name of prerequisites
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | personNotFound
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | Prerequisites test: personNotFound
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | False	Failed TaskHandler:prerequisites:checkPrerequisites for LookAround - personNotFound
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | personNotFound : FAILED
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | Prereq test after testing: False
[Modules.TaskHandler] | 2017-10-24 09:55:24,926 | True;  Finished :LookAround
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | Starting new task: AskForTask
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | Running task: AskForTask
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | Name of prerequisites
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | personFound,talkingToPerson
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | Prerequisites test: personFound
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | True
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | Prerequisites test: talkingToPerson
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | True
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | Prereq test after testing: True
[Modules.TaskHandler] | 2017-10-24 09:55:24,927 | Starting new task: Greet
[Modules.TaskHandler] | 2017-10-24 09:55:24,928 | Running task: Greet
[Modules.TaskHandler] | 2017-10-24 09:55:24,928 | Name of prerequisites
[Modules.TaskHandler] | 2017-10-24 09:55:24,928 | personFound,haveNotGreeted
[Modules.TaskHandler] | 2017-10-24 09:55:24,928 | Prerequisites test: personFound
[Modules.TaskHandler] | 2017-10-24 09:55:24,928 | True
[Modules.TaskHandler] | 2017-10-24 09:55:24,928 | Prerequisites test: haveNotGreeted
[Modules.prerequisites] | 2017-10-24 09:55:24,928 | InfoBag: True
