Try no, T1, T2, TimestampT1, TimestampT2
1,0,0,0,0
2,0,1,0,15:34:28
3,0,0,0,0
4,0,1,0,15:36:30
5,0,1,15:37:20,15:37:00
6,1,1,0,15:38:20
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
